# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 25.0 291.7569 323.8065
127.0 0.0 25.0 291.7569 323.9008
127.0 0.0 25.0 291.7569 323.9950
127.0 0.0 25.0 291.7569 324.0893
127.0 0.0 25.0 291.7569 329.0621
127.0 0.0 25.0 291.7569 329.1574
127.0 0.0 25.0 291.7569 329.2526
127.0 0.0 25.0 291.7569 329.3478
127.0 0.0 25.0 291.7569 329.4431
127.0 0.0 25.0 291.7569 329.5383
127.0 0.0 25.0 291.7569 329.6336
127.0 0.0 25.0 291.7569 329.7288
127.0 0.0 25.0 291.7569 329.8241
127.0 0.0 25.0 291.7569 329.9193
127.0 0.0 25.0 291.7569 330.0146
127.0 0.0 25.0 291.7569 330.1098
127.0 0.0 25.0 291.7569 330.2050
127.0 0.0 25.0 291.7569 330.3003
127.0 0.0 25.0 291.7569 330.3955
127.0 0.0 25.0 291.7569 330.4908
127.0 0.0 25.0 291.7569 330.5860
127.0 0.0 25.0 291.7569 330.6813
127.0 0.0 25.0 291.7569 330.7765
127.0 0.0 25.0 291.7569 336.0947
127.0 0.0 25.0 291.7569 336.1913
127.0 0.0 25.0 291.7569 336.2878
127.0 0.0 25.0 291.7569 336.3844
127.0 0.0 25.0 291.7569 336.4809
127.0 0.0 25.0 291.7569 336.5775
127.0 0.0 25.0 291.7569 336.6741
127.0 0.0 25.0 291.7569 336.7706
127.0 0.0 25.0 291.7569 336.8672
127.0 0.0 25.0 291.7569 336.9637
127.0 0.0 25.0 291.7569 337.0603
127.0 0.0 25.0 291.7569 337.1568
127.0 0.0 25.0 291.7569 337.2534
127.0 0.0 25.0 291.7569 337.3500
127.0 0.0 25.0 291.7569 337.4465
127.0 0.0 25.0 291.7569 337.5431
127.0 0.0 25.0 291.7569 337.6396
127.0 0.0 25.0 291.7569 337.7362
127.0 0.0 25.0 291.7569 337.8327
127.0 0.0 25.0 291.7569 337.9293
