# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 1025.0 109.7198 186.2924
127.0 0.0 1025.0 109.7198 186.3915
127.0 0.0 1025.0 109.7198 186.4907
127.0 0.0 1025.0 109.7198 186.5899
127.0 0.0 1025.0 109.7198 186.6891
127.0 0.0 1025.0 109.7198 186.7883
127.0 0.0 1025.0 109.7198 186.8874
127.0 0.0 1025.0 109.7198 186.9866
127.0 0.0 1025.0 109.7198 187.0858
127.0 0.0 1025.0 109.7198 187.1850
127.0 0.0 1025.0 109.7198 187.2842
127.0 0.0 1025.0 109.7198 174.9661
127.0 0.0 1025.0 109.7198 175.0636
127.0 0.0 1025.0 109.7198 175.1611
127.0 0.0 1025.0 109.7198 175.2586
127.0 0.0 1025.0 109.7198 175.3561
127.0 0.0 1025.0 109.7198 175.4535
127.0 0.0 1025.0 109.7198 175.5510
127.0 0.0 1025.0 109.7198 175.6485
127.0 0.0 1025.0 109.7198 175.7460
127.0 0.0 1025.0 109.7198 175.8434
127.0 0.0 1025.0 109.7198 175.9409
127.0 0.0 1025.0 109.7198 176.0384
127.0 0.0 1025.0 109.7198 176.1359
127.0 0.0 1025.0 109.7198 176.2333
127.0 0.0 1025.0 109.7198 176.3308
127.0 0.0 1025.0 109.7198 176.4283
127.0 0.0 1025.0 109.7198 176.5258
127.0 0.0 1025.0 109.7198 176.6232
127.0 0.0 1025.0 109.7198 176.7207
127.0 0.0 1025.0 109.7198 176.8182
127.0 0.0 1025.0 109.7198 176.9157
127.0 0.0 1025.0 109.7198 177.0132
127.0 0.0 1025.0 109.7198 177.1106
127.0 0.0 1025.0 109.7198 177.2081
127.0 0.0 1025.0 109.7198 177.3056
127.0 0.0 1025.0 109.7198 177.4031
127.0 0.0 1025.0 109.7198 177.5005
127.0 0.0 1025.0 109.7198 177.5980
127.0 0.0 1025.0 109.7198 177.6955
127.0 0.0 1025.0 109.7198 177.7930
127.0 0.0 1025.0 109.7198 177.8904
127.0 0.0 1025.0 109.7198 177.9879
127.0 0.0 1025.0 109.7198 178.0854
127.0 0.0 1025.0 109.7198 178.1829
127.0 0.0 1025.0 111.7569 226.5642
127.0 0.0 1025.0 111.7569 226.6606
127.0 0.0 1025.0 111.7569 226.7571
127.0 0.0 1025.0 111.7569 221.6572
127.0 0.0 1025.0 111.7569 221.7469
127.0 0.0 1025.0 111.7569 221.8366
127.0 0.0 1025.0 111.7569 221.9263
127.0 0.0 1025.0 111.7569 222.0160
127.0 0.0 1025.0 111.7569 222.1057
127.0 0.0 1025.0 111.7569 222.1954
127.0 0.0 1025.0 111.7569 222.2851
127.0 0.0 1025.0 111.7569 215.9107
127.0 0.0 1025.0 111.7569 216.0050
127.0 0.0 1025.0 111.7569 216.0992
127.0 0.0 1025.0 111.7569 216.1935
127.0 0.0 1025.0 111.7569 216.2877
127.0 0.0 1025.0 111.7569 216.3820
127.0 0.0 1025.0 111.7569 216.4762
127.0 0.0 1025.0 111.7569 216.5705
127.0 0.0 1025.0 111.7569 216.6647
127.0 0.0 1025.0 111.7569 216.7590
127.0 0.0 1025.0 111.7569 216.8532
127.0 0.0 1025.0 111.7569 216.9475
127.0 0.0 1025.0 111.7569 217.0417
127.0 0.0 1025.0 111.7569 209.2235
127.0 0.0 1025.0 111.7569 209.3187
127.0 0.0 1025.0 111.7569 209.4140
127.0 0.0 1025.0 111.7569 209.5092
127.0 0.0 1025.0 111.7569 209.6045
127.0 0.0 1025.0 111.7569 209.6997
127.0 0.0 1025.0 111.7569 209.7950
127.0 0.0 1025.0 111.7569 209.8902
127.0 0.0 1025.0 111.7569 209.9854
127.0 0.0 1025.0 111.7569 210.0807
127.0 0.0 1025.0 111.7569 210.1759
127.0 0.0 1025.0 111.7569 210.2712
127.0 0.0 1025.0 111.7569 210.3664
127.0 0.0 1025.0 111.7569 210.4617
127.0 0.0 1025.0 111.7569 210.5569
127.0 0.0 1025.0 111.7569 210.6522
127.0 0.0 1025.0 111.7569 210.7474
127.0 0.0 1025.0 111.7569 210.8426
127.0 0.0 1025.0 111.7569 210.9379
127.0 0.0 1025.0 111.7569 201.5879
127.0 0.0 1025.0 111.7569 201.6845
127.0 0.0 1025.0 111.7569 201.7810
127.0 0.0 1025.0 111.7569 201.8776
127.0 0.0 1025.0 111.7569 201.9741
127.0 0.0 1025.0 111.7569 202.0707
127.0 0.0 1025.0 111.7569 202.1673
127.0 0.0 1025.0 111.7569 202.2638
127.0 0.0 1025.0 111.7569 202.3604
127.0 0.0 1025.0 111.7569 202.4569
127.0 0.0 1025.0 111.7569 202.5535
127.0 0.0 1025.0 111.7569 202.6500
127.0 0.0 1025.0 111.7569 202.7466
127.0 0.0 1025.0 111.7569 202.8432
127.0 0.0 1025.0 111.7569 202.9397
127.0 0.0 1025.0 111.7569 203.0363
127.0 0.0 1025.0 111.7569 203.1328
127.0 0.0 1025.0 111.7569 203.2294
127.0 0.0 1025.0 111.7569 203.3259
127.0 0.0 1025.0 111.7569 203.4225
127.0 0.0 1025.0 111.7569 203.5191
127.0 0.0 1025.0 111.7569 203.6156
127.0 0.0 1025.0 111.7569 203.7122
127.0 0.0 1025.0 111.7569 203.8087
127.0 0.0 1025.0 111.7569 203.9053
127.0 0.0 1025.0 111.7569 193.1227
127.0 0.0 1025.0 111.7569 193.2207
127.0 0.0 1025.0 111.7569 193.3188
127.0 0.0 1025.0 111.7569 193.4169
127.0 0.0 1025.0 111.7569 193.5149
127.0 0.0 1025.0 111.7569 193.6130
127.0 0.0 1025.0 111.7569 193.7111
127.0 0.0 1025.0 111.7569 193.8091
127.0 0.0 1025.0 111.7569 193.9072
127.0 0.0 1025.0 111.7569 194.0053
127.0 0.0 1025.0 111.7569 194.1033
127.0 0.0 1025.0 111.7569 194.2014
127.0 0.0 1025.0 111.7569 194.2995
127.0 0.0 1025.0 111.7569 194.3975
127.0 0.0 1025.0 111.7569 194.4956
